time,temperature_K,region,year
1850-12-31,16.079517,Atlantic,1850
1851-12-31,15.967412,Atlantic,1851
1852-12-31,15.910835,Atlantic,1852
1853-12-31,16.023376,Atlantic,1853
1854-12-31,16.147078,Atlantic,1854
1855-12-31,15.92595,Atlantic,1855
1856-12-31,16.074507,Atlantic,1856
1857-12-31,15.839826,Atlantic,1857
1858-12-31,15.950368,Atlantic,1858
1859-12-31,16.016981,Atlantic,1859
1860-12-31,16.14364,Atlantic,1860
1861-12-31,15.716926,Atlantic,1861
1862-12-31,15.890021,Atlantic,1862
1863-12-31,15.991399,Atlantic,1863
1864-12-31,16.01197,Atlantic,1864
1865-12-31,16.150978,Atlantic,1865
1866-12-31,15.886436,Atlantic,1866
1867-12-31,16.046019,Atlantic,1867
1868-12-31,16.112322,Atlantic,1868
1869-12-31,16.075367,Atlantic,1869
1870-12-31,15.778343,Atlantic,1870
1871-12-31,15.954071,Atlantic,1871
1872-12-31,15.840739,Atlantic,1872
1873-12-31,15.811821,Atlantic,1873
1874-12-31,16.018942,Atlantic,1874
1875-12-31,16.113113,Atlantic,1875
1876-12-31,16.030123,Atlantic,1876
1877-12-31,16.001747,Atlantic,1877
1878-12-31,16.034174,Atlantic,1878
1879-12-31,16.008379,Atlantic,1879
1880-12-31,16.033522,Atlantic,1880
1881-12-31,16.19834,Atlantic,1881
1882-12-31,16.072498,Atlantic,1882
1883-12-31,15.821099,Atlantic,1883
1884-12-31,15.696387,Atlantic,1884
1885-12-31,15.807124,Atlantic,1885
1886-12-31,15.821793,Atlantic,1886
1887-12-31,15.838281,Atlantic,1887
1888-12-31,15.910802,Atlantic,1888
1889-12-31,16.089739,Atlantic,1889
1890-12-31,16.144562,Atlantic,1890
1891-12-31,16.026857,Atlantic,1891
1892-12-31,16.009237,Atlantic,1892
1893-12-31,15.685944,Atlantic,1893
1894-12-31,16.053331,Atlantic,1894
1895-12-31,15.976651,Atlantic,1895
1896-12-31,15.740727,Atlantic,1896
1897-12-31,15.726826,Atlantic,1897
1898-12-31,15.809952,Atlantic,1898
1899-12-31,15.837104,Atlantic,1899
1900-12-31,15.978293,Atlantic,1900
1901-12-31,16.224115,Atlantic,1901
1902-12-31,16.109835,Atlantic,1902
1903-12-31,15.819749,Atlantic,1903
1904-12-31,15.923363,Atlantic,1904
1905-12-31,15.97676,Atlantic,1905
1906-12-31,16.081974,Atlantic,1906
1907-12-31,16.150785,Atlantic,1907
1908-12-31,15.799832,Atlantic,1908
1909-12-31,15.819242,Atlantic,1909
1910-12-31,16.17065,Atlantic,1910
1911-12-31,16.008593,Atlantic,1911
1912-12-31,16.124746,Atlantic,1912
1913-12-31,16.050741,Atlantic,1913
1914-12-31,15.928172,Atlantic,1914
1915-12-31,15.834491,Atlantic,1915
1916-12-31,16.123812,Atlantic,1916
1917-12-31,16.100897,Atlantic,1917
1918-12-31,16.0692,Atlantic,1918
1919-12-31,16.149347,Atlantic,1919
1920-12-31,16.109564,Atlantic,1920
1921-12-31,16.169464,Atlantic,1921
1922-12-31,16.350882,Atlantic,1922
1923-12-31,16.098196,Atlantic,1923
1924-12-31,16.02875,Atlantic,1924
1925-12-31,16.11986,Atlantic,1925
1926-12-31,16.070467,Atlantic,1926
