lon,lat,value
182.5,-78.25,0.785751
183.5,-78.25,0.7543619
184.5,-78.25,0.722685
185.5,-78.25,0.6878673
186.5,-78.25,0.65500164
187.5,-78.25,0.62877023
188.5,-78.25,0.61761326
189.5,-78.25,0.62444603
190.5,-78.25,0.62996197
191.5,-78.25,0.6170894
192.5,-78.25,0.5942382
193.5,-78.25,0.5761197
194.5,-78.25,0.5677021
195.5,-78.25,0.5728576
196.5,-78.25,0.57166725
197.5,-78.25,0.56950164
198.5,-78.25,0.56464803
199.5,-78.25,0.56144243
316.5,-78.25,-0.22558835
317.5,-78.25,-0.26675788
318.5,-78.25,-0.31141934
319.5,-78.25,-0.36909622
320.5,-78.25,-0.4374431
321.5,-78.25,-0.50815356
322.5,-78.25,-0.5682822
323.5,-78.25,-0.60105824
177.5,-77.75,0.60806
178.5,-77.75,0.57663405
179.5,-77.75,0.5842289
180.5,-77.75,0.6024549
181.5,-77.75,0.6211605
182.5,-77.75,0.6286834
183.5,-77.75,0.573123
184.5,-77.75,0.51967514
185.5,-77.75,0.4866579
186.5,-77.75,0.46641096
187.5,-77.75,0.45697498
188.5,-77.75,0.4538578
189.5,-77.75,0.4543433
190.5,-77.75,0.45558956
191.5,-77.75,0.45664632
192.5,-77.75,0.45522237
193.5,-77.75,0.4534795
194.5,-77.75,0.45355704
195.5,-77.75,0.45492756
196.5,-77.75,0.45463145
197.5,-77.75,0.452477
198.5,-77.75,0.44775763
199.5,-77.75,0.4408453
200.5,-77.75,0.42170325
201.5,-77.75,0.41068655
313.5,-77.75,-0.21278591
314.5,-77.75,-0.2441728
315.5,-77.75,-0.26051265
316.5,-77.75,-0.27218375
317.5,-77.75,-0.2957974
318.5,-77.75,-0.3347881
319.5,-77.75,-0.38989258
320.5,-77.75,-0.45628902
321.5,-77.75,-0.52148783
322.5,-77.75,-0.5710797
323.5,-77.75,-0.6071295
324.5,-77.75,-0.61995053
164.5,-77.25,-0.46958944
165.5,-77.25,-0.3736057
166.5,-77.25,-0.27407885
167.5,-77.25,-0.17459525
168.5,-77.25,-0.075825915
169.5,-77.25,0.019672975
170.5,-77.25,0.10775748
171.5,-77.25,0.19092149
172.5,-77.25,0.26849788
173.5,-77.25,0.33509222
174.5,-77.25,0.3855016
175.5,-77.25,0.41968066
176.5,-77.25,0.44714826
177.5,-77.25,0.45994425
178.5,-77.25,0.43538713
179.5,-77.25,0.42204735
180.5,-77.25,0.42467436
181.5,-77.25,0.42522922
182.5,-77.25,0.41478407
183.5,-77.25,0.39805797
184.5,-77.25,0.3857124
185.5,-77.25,0.38199365
186.5,-77.25,0.38482967
187.5,-77.25,0.39096478
188.5,-77.25,0.39674062
189.5,-77.25,0.40273842
190.5,-77.25,0.40719742
191.5,-77.25,0.4104183
192.5,-77.25,0.4139745
193.5,-77.25,0.41689932
194.5,-77.25,0.42142275
195.5,-77.25,0.42673737
196.5,-77.25,0.42928347
197.5,-77.25,0.42695424
198.5,-77.25,0.42095262
199.5,-77.25,0.41580468
200.5,-77.25,0.41247937
201.5,-77.25,0.4150646
206.5,-77.25,0.36334953
207.5,-77.25,0.38822946
208.5,-77.25,0.38679773
310.5,-77.25,-0.2595268
311.5,-77.25,-0.27177662
312.5,-77.25,-0.28288117
313.5,-77.25,-0.28487378
314.5,-77.25,-0.29595447
315.5,-77.25,-0.30315176
316.5,-77.25,-0.31175137
317.5,-77.25,-0.3220549
318.5,-77.25,-0.33810797
319.5,-77.25,-0.36535257
320.5,-77.25,-0.40226045
321.5,-77.25,-0.4410448
322.5,-77.25,-0.46873003
323.5,-77.25,-0.47490636
324.5,-77.25,-0.45378596
325.5,-77.25,-0.37348592
